City,Population,Latitude,Longitude
shashi,498780,30.307222,112.244722
reynosa,498670,26.083333,-98.283333
makhachkala,497967,42.976378,47.502356
newcastle,497961,-32.927792,151.784485
nuremberg,497593,49.447778,11.068333
tlaquepaque,493667,20.65,-103.316667
leipzig,492637,51.3,12.333333
jamnagar,492087,22.466667,70.066667
panchiao,491891,25.0391667,121.525
aracaju,490184,-10.916667,-37.066667
san pedro sula,489506,15.5,-88.0333333
suez,488124,29.9666667,32.55
albuquerque,487378,35.0844444,-106.6505556
tomsk,485523,56.494167,84.974167
nanded,485150,19.15,77.333333
saharanpur,484921,29.966667,77.55
gulbarga,483655,17.333333,76.833333
bhatpara,483175,22.871389,88.408889
long beach,482618,33.7669444,-118.1883333
feira de santana,481926,-12.25,-38.95
shah alam,481670,3.083333,101.533333
himeji,481496,34.816667,134.7
tuxtla gutierrez,481143,16.75,-93.116667
gomel,481000,52.4416667,30.9833333
dresden,480801,51.05,13.75
hargeysa,478283,9.5833333,44.0666667
yazd,477926,31.897222,54.3675
sialkot,477537,32.510103,74.54313
kemerovo,477096,55.333333,86.083333
yichang,476725,30.77135,111.321458
the hague,476587,52.083333,4.3
cuautitlan izcalli,475199,19.646944,-99.246667
yinchuan,475101,38.468056,106.273056
skopje,474887,42,21.4333333
vereeniging,474680,-26.673133,27.926147
maoming,473251,21.65,110.9
da nang,472255,16.067778,108.220833
londrina,471836,-23.3,-51.15
jiaojiang,470804,28.680278,121.442778
matsudo,470287,35.783333,139.9
juiz de fora,470201,-21.751667,-43.352778
san juan,469958,-31.5375,-68.536389
liverpool,468946,53.416667,-3
nishinomiya,468929,34.716667,135.333333
tula,468830,54.202133,37.644294
kawaguchi,468574,35.805,139.720556
sacramento,467898,38.5816667,-121.4933333
zunyi,466292,27.543056,106.823056
belford roxo,466101,-22.761995,-43.404654
jiaxing,466101,30.752198,120.749997
jammu,465600,32.733333,74.866667
fresno,465183,36.7477778,-119.7713889
lyon,463700,45.748457,4.846711
kananga,463556,-5.895833,22.417778
bloemfontein,463084,-29.121065,26.214003
xiangfan,462956,32.042203,112.144794
gdansk,461865,54.36085,18.658291
calabar,461832,4.9517,8.322
panzhihua,461513,26.547902,101.705386
joinville,461312,-26.3,-48.833333
zamboanga,460879,6.910255,122.071715
mixco,460576,14.633333,-90.606389
antwerp,459805,51.216667,4.416667
new orleans,459336,29.9544444,-90.075
ichikawa,458249,35.719722,139.924722
ujjain,457395,23.183333,75.766667
kirov,457387,58.596654,49.660068
kota kinabalu,457375,5.9749,116.0724
durango,457154,24.033333,-104.666667
niteroi,456461,-22.90214,-43.130301
hengshui,456356,37.732222,115.701111
chitungwiza,456206,-17.9938889,31.0480556
santa fe,456044,-31.629484,-60.701036
pontianak,455226,-0.033333,109.333333
leeds,455124,53.8,-1.583333
sao joao de meriti,454855,-22.798614,-43.360894
bacolod,453954,10.6677,122.9533
manado,451910,1.487,124.8455
jining,450327,35.405,116.581389
constantine,450126,36.365,6.6147222
mesa,449878,33.4222222,-111.8219444
urfa,449785,37.16708,38.793919
cleveland,449514,41.4994444,-81.6955556
virginia beach,449386,36.8527778,-75.9783333
chengde,449325,40.770278,118.169722
xuchang,449258,34.016667,113.816667
sheffield,447048,53.366667,-1.5
cheboksary,446786,56.132222,47.251944
cagayan de oro,445212,8.481111,124.643056
boksburg,445182,-26.214953,28.254732
rajpur,444549,22.4125,88.418056
amagasaki,442176,34.716667,135.416667
malatya,442046,38.350183,38.316669
kansas city,442028,39.1141667,-94.6272222
kansas city,442028,39.0997222,-94.5783333
dasmarinas,441878,14.329444,120.936667
pereira,440123,4.813333,-75.696111
carrefour,439590,18.5383333,-72.4122222
iquitos,439114,-3.7480556,-73.2472222
mawlamyine,438907,16.4913889,97.6255556
baoji,438295,34.365907,107.359045
kurashiki,437585,34.583333,133.766667
garoua,436932,9.3,13.4
mwanza,436811,-2.5166667,32.9
kousseri,435986,12.0783333,15.0308333
tirunelveli,435882,8.733333,77.7
edinburgh,435794,55.95,-3.2
malegaon,435397,20.55,74.533333
matamoros,435159,25.883333,-97.5
kaliningrad,434959,54.706493,20.510951
ananindeua,433956,-1.366667,-48.383333
balikpapan,433939,-1.283333,116.833333
dadiangas,432571,6.112778,125.171667
namangan,432479,40.9952778,71.6725
katsina,432179,12.989428,7.600628
welkom,432070,-27.986442,26.706612
santa marta,431788,11.240791,-74.19904
el mahalla el kubra,431088,30.9761111,31.1669444
bristol,430714,51.45,-2.583333
